filename,plate.pos,arb.sort,sampID,sample.type,timepoint,date,time,extractplate,rnaprepplate,Unmapped,Multimapping,No Feature,Ambiguous Unstranded,Ambiguous Forward,plate_row,plate_col,Total Reads,Unmapped Over Mapped
A2450525897_n01_LICRNA01_H10,H10,80,LIC128,plant,t11,12/15/23,8:00,LIC_02,LICRNA_01,2291624.0,408948.0,159867.0,259492.0,34365.0,H,10,3177403.0,0.721225478795104
A2450525897_n01_LICRNA01_A11,A11,81,LIC133,plant,t12,1/5/24,8:00,LIC_02,LICRNA_01,2986175.0,406161.0,108688.0,208976.0,25239.0,A,11,2393809.0,1.2474575039194857
A2450525897_n01_LICRNA01_B11,B11,82,LIC134,plant,t12,1/5/24,8:00,LIC_02,LICRNA_01,18478194.0,1312767.0,753194.0,1178696.0,158468.0,B,11,14393527.0,1.2837849958526495
A2450525897_n01_LICRNA01_C11,C11,83,LIC135,plant,t12,1/5/24,8:00,LIC_02,LICRNA_01,584473.0,67857.0,15376.0,9239.0,2736.0,C,11,111280.0,5.252273544212796
A2450525897_n01_LICRNA01_D11,D11,84,LIC136,plant,t12,1/5/24,8:00,LIC_02,LICRNA_01,783744.0,82443.0,10973.0,8926.0,2611.0,D,11,106407.0,7.365530463221405
A2450525897_n01_LICRNA01_E11,E11,85,LIC137,plant,t12,1/5/24,8:00,LIC_02,LICRNA_01,2446745.0,259529.0,112813.0,209126.0,25459.0,E,11,2413048.0,1.0139644963548176
A2450525897_n01_LICRNA01_F11,F11,86,LIC138,plant,t12,1/5/24,8:00,LIC_02,LICRNA_01,4005201.0,515276.0,184484.0,427008.0,49994.0,F,11,5147901.0,0.7780260343001935
A2450525897_n01_LICRNA01_G11,G11,87,LIC139,plant,t12,1/5/24,8:00,LIC_02,LICRNA_01,4013819.0,504297.0,179941.0,307291.0,37914.0,G,11,3349954.0,1.1981713778756364
A2450525897_n01_LICRNA01_H11,H11,88,LIC140,plant,t12,1/5/24,8:00,LIC_02,LICRNA_01,4351928.0,750270.0,363069.0,748558.0,92054.0,H,11,9190562.0,0.47352142339064796
A2450525897_n01_LICRNA01_A12,A12,89,LIC145,plant,t13,1/15/24,8:00,LIC_02,LICRNA_01,485464.0,75864.0,36442.0,81458.0,9290.0,A,12,1040265.0,0.4666733957212826
A2450525897_n01_LICRNA01_B12,B12,90,LIC146,plant,t13,1/15/24,8:00,LIC_02,LICRNA_01,8749173.0,802036.0,716655.0,928777.0,108372.0,B,12,9628312.0,0.9086923024513539
A2450525897_n01_LICRNA01_C12,C12,91,LIC147,plant,t13,1/15/24,8:00,LIC_02,LICRNA_01,1463618.0,351610.0,158535.0,347717.0,37867.0,C,12,4359840.0,0.3357045212668355
A2450525897_n01_LICRNA01_D12,D12,92,LIC148,plant,t13,1/15/24,8:00,LIC_02,LICRNA_01,,,,,,D,12,,
A2450525897_n01_LICRNA01_E12,E12,93,LIC149,plant,t13,1/15/24,8:00,LIC_02,LICRNA_01,6099952.0,336225.0,387240.0,622435.0,72994.0,E,12,6729013.0,0.9065151159612859
A2450525897_n01_LICRNA01_F12,F12,94,LIC150,plant,t13,1/15/24,8:00,LIC_02,LICRNA_01,2140653.0,341382.0,216214.0,424028.0,48951.0,F,12,5088400.0,0.4206927521421272
A2450525897_n01_LICRNA01_G12,G12,95,LIC151,plant,t13,1/15/24,8:00,LIC_02,LICRNA_01,3435305.0,624893.0,310777.0,626902.0,75732.0,G,12,7864279.0,0.4368238970158612
A2450525897_n01_LICRNA01_H12,H12,96,LIC152,plant,t13,1/15/24,8:00,LIC_02,LICRNA_01,3551217.0,479488.0,297809.0,466537.0,56470.0,H,12,5105059.0,0.6956270240951182
A2449446903_n01_LICRNA02_A01,A01,1,LIC157,plant,t14,1/23/24,8:00,LIC_02,LICRNA_02,758284.0,285983.0,82176.0,103821.0,14939.0,A,1,1246970.0,0.6081012373994563
A2449446903_n01_LICRNA02_B01,B01,2,LIC158,plant,t14,1/23/24,8:00,LIC_02,LICRNA_02,2086106.0,465461.0,220515.0,285686.0,41989.0,B,1,3577109.0,0.5831821171789845
A2449446903_n01_LICRNA02_C01,C01,3,LIC159,plant,t14,1/23/24,8:00,LIC_02,LICRNA_02,2074556.0,689934.0,255116.0,256430.0,41959.0,C,1,3236577.0,0.6409722370269578
A2449446903_n01_LICRNA02_D01,D01,4,LIC160,plant,t14,1/23/24,8:00,LIC_02,LICRNA_02,8431037.0,2212178.0,996469.0,968722.0,147633.0,D,1,12227612.0,0.6895080576648981
A2449446903_n01_LICRNA02_E01,E01,5,LIC161,plant,t14,1/23/24,8:00,LIC_02,LICRNA_02,6050050.0,877963.0,588198.0,751231.0,111929.0,E,1,9359040.0,0.6464391647006531
A2449446903_n01_LICRNA02_F01,F01,6,LIC162,plant,t14,1/23/24,8:00,LIC_02,LICRNA_02,62126.0,88.0,8.0,9.0,,F,1,115.0,540.2260869565217
A2449446903_n01_LICRNA02_G01,G01,7,LIC163,plant,t14,1/23/24,8:00,LIC_02,LICRNA_02,7514343.0,1577532.0,618259.0,729731.0,110431.0,G,1,8934110.0,0.8410846743548043
