,filename,plate.pos,arb.sort,sampID,sample.type,timepoint,date,time,extractplate,rnaprepplate
81,A2450525897_n01_LICRNA01_B11.fastq.gz,B11,82,LIC134,plant,t12,1/5/24,8:00,LIC_02,LICRNA_01
82,A2450525897_n01_LICRNA01_C11.fastq.gz,C11,83,LIC135,plant,t12,1/5/24,8:00,LIC_02,LICRNA_01
83,A2450525897_n01_LICRNA01_D11.fastq.gz,D11,84,LIC136,plant,t12,1/5/24,8:00,LIC_02,LICRNA_01
84,A2450525897_n01_LICRNA01_E11.fastq.gz,E11,85,LIC137,plant,t12,1/5/24,8:00,LIC_02,LICRNA_01
85,A2450525897_n01_LICRNA01_F11.fastq.gz,F11,86,LIC138,plant,t12,1/5/24,8:00,LIC_02,LICRNA_01
86,A2450525897_n01_LICRNA01_G11.fastq.gz,G11,87,LIC139,plant,t12,1/5/24,8:00,LIC_02,LICRNA_01
87,A2450525897_n01_LICRNA01_H11.fastq.gz,H11,88,LIC140,plant,t12,1/5/24,8:00,LIC_02,LICRNA_01
88,A2450525897_n01_LICRNA01_A12.fastq.gz,A12,89,LIC145,plant,t13,1/15/24,8:00,LIC_02,LICRNA_01
89,A2450525897_n01_LICRNA01_B12.fastq.gz,B12,90,LIC146,plant,t13,1/15/24,8:00,LIC_02,LICRNA_01
90,A2450525897_n01_LICRNA01_C12.fastq.gz,C12,91,LIC147,plant,t13,1/15/24,8:00,LIC_02,LICRNA_01
91,A2450525897_n01_LICRNA01_D12.fastq.gz,D12,92,LIC148,plant,t13,1/15/24,8:00,LIC_02,LICRNA_01
92,A2450525897_n01_LICRNA01_E12.fastq.gz,E12,93,LIC149,plant,t13,1/15/24,8:00,LIC_02,LICRNA_01
93,A2450525897_n01_LICRNA01_F12.fastq.gz,F12,94,LIC150,plant,t13,1/15/24,8:00,LIC_02,LICRNA_01
94,A2450525897_n01_LICRNA01_G12.fastq.gz,G12,95,LIC151,plant,t13,1/15/24,8:00,LIC_02,LICRNA_01
95,A2450525897_n01_LICRNA01_H12.fastq.gz,H12,96,LIC152,plant,t13,1/15/24,8:00,LIC_02,LICRNA_01
96,A2449446903_n01_LICRNA02_A01.fastq.gz,A01,1,LIC157,plant,t14,1/23/24,8:00,LIC_02,LICRNA_02
97,A2449446903_n01_LICRNA02_B01.fastq.gz,B01,2,LIC158,plant,t14,1/23/24,8:00,LIC_02,LICRNA_02
98,A2449446903_n01_LICRNA02_C01.fastq.gz,C01,3,LIC159,plant,t14,1/23/24,8:00,LIC_02,LICRNA_02
99,A2449446903_n01_LICRNA02_D01.fastq.gz,D01,4,LIC160,plant,t14,1/23/24,8:00,LIC_02,LICRNA_02
100,A2449446903_n01_LICRNA02_E01.fastq.gz,E01,5,LIC161,plant,t14,1/23/24,8:00,LIC_02,LICRNA_02
101,A2449446903_n01_LICRNA02_F01.fastq.gz,F01,6,LIC162,plant,t14,1/23/24,8:00,LIC_02,LICRNA_02
102,A2449446903_n01_LICRNA02_G01.fastq.gz,G01,7,LIC163,plant,t14,1/23/24,8:00,LIC_02,LICRNA_02
103,A2449446903_n01_LICRNA02_H01.fastq.gz,H01,8,LIC164,plant,t14,1/23/24,8:00,LIC_02,LICRNA_02
104,A2449446903_n01_LICRNA02_A02.fastq.gz,A02,9,LIC169,plant,t15,1/27/24,8:00,LIC_02,LICRNA_02
105,A2449446903_n01_LICRNA02_B02.fastq.gz,B02,10,LIC170,plant,t15,1/27/24,8:00,LIC_02,LICRNA_02
106,A2449446903_n01_LICRNA02_C02.fastq.gz,C02,11,LIC171,plant,t15,1/27/24,8:00,LIC_02,LICRNA_02
107,A2449446903_n01_LICRNA02_D02.fastq.gz,D02,12,LIC172,plant,t15,1/27/24,8:00,LIC_02,LICRNA_02
108,A2449446903_n01_LICRNA02_E02.fastq.gz,E02,13,LIC173,plant,t15,1/27/24,8:00,LIC_02,LICRNA_02
109,A2449446903_n01_LICRNA02_F02.fastq.gz,F02,14,LIC174,plant,t15,1/27/24,8:00,LIC_02,LICRNA_02
110,A2449446903_n01_LICRNA02_G02.fastq.gz,G02,15,LIC175,plant,t15,1/27/24,8:00,LIC_02,LICRNA_02
111,A2449446903_n01_LICRNA02_H02.fastq.gz,H02,16,LIC176,plant,t15,1/27/24,8:00,LIC_02,LICRNA_02
112,A2449446903_n01_LICRNA02_A03.fastq.gz,A03,17,LIC193,plant,t17,2/2/24,8:00,LIC_03,LICRNA_02
113,A2449446903_n01_LICRNA02_B03.fastq.gz,B03,18,LIC194,plant,t17,2/2/24,8:00,LIC_03,LICRNA_02
114,A2449446903_n01_LICRNA02_C03.fastq.gz,C03,19,LIC195,plant,t17,2/2/24,8:00,LIC_03,LICRNA_02
115,A2449446903_n01_LICRNA02_D03.fastq.gz,D03,20,LIC196,plant,t17,2/2/24,8:00,LIC_03,LICRNA_02
116,A2449446903_n01_LICRNA02_E03.fastq.gz,E03,21,LIC197,plant,t17,2/2/24,8:00,LIC_03,LICRNA_02
117,A2449446903_n01_LICRNA02_F03.fastq.gz,F03,22,LIC198,plant,t17,2/2/24,8:00,LIC_03,LICRNA_02
118,A2449446903_n01_LICRNA02_G03.fastq.gz,G03,23,LIC199,plant,t17,2/2/24,8:00,LIC_03,LICRNA_02
119,A2449446903_n01_LICRNA02_H03.fastq.gz,H03,24,LIC200,plant,t17,2/2/24,8:00,LIC_03,LICRNA_02
120,A2449446903_n01_LICRNA02_A04.fastq.gz,A04,25,LIC205,plant,t18,2/6/24,8:00,LIC_03,LICRNA_02
121,A2449446903_n01_LICRNA02_B04.fastq.gz,B04,26,LIC206,plant,t18,2/6/24,8:00,LIC_03,LICRNA_02
122,A2449446903_n01_LICRNA02_C04.fastq.gz,C04,27,LIC207,plant,t18,2/6/24,8:00,LIC_03,LICRNA_02
123,A2449446903_n01_LICRNA02_D04.fastq.gz,D04,28,LIC208,plant,t18,2/6/24,8:00,LIC_03,LICRNA_02
124,A2449446903_n01_LICRNA02_E04.fastq.gz,E04,29,LIC209,plant,t18,2/6/24,8:00,LIC_03,LICRNA_02
125,A2449446903_n01_LICRNA02_F04.fastq.gz,F04,30,LIC210,plant,t18,2/6/24,8:00,LIC_03,LICRNA_02
126,A2449446903_n01_LICRNA02_G04.fastq.gz,G04,31,LIC211,plant,t18,2/6/24,8:00,LIC_03,LICRNA_02
127,A2449446903_n01_LICRNA02_H04.fastq.gz,H04,32,LIC212,plant,t18,2/6/24,8:00,LIC_03,LICRNA_02
128,A2449446903_n01_LICRNA02_A05.fastq.gz,A05,33,LIC217,plant,t19,2/9/24,8:00,LIC_03,LICRNA_02
129,A2449446903_n01_LICRNA02_B05.fastq.gz,B05,34,LIC218,plant,t19,2/9/24,8:00,LIC_03,LICRNA_02
130,A2449446903_n01_LICRNA02_C05.fastq.gz,C05,35,LIC219,plant,t19,2/9/24,8:00,LIC_03,LICRNA_02
131,A2449446903_n01_LICRNA02_D05.fastq.gz,D05,36,LIC220,plant,t19,2/9/24,8:00,LIC_03,LICRNA_02
132,A2449446903_n01_LICRNA02_E05.fastq.gz,E05,37,LIC221,plant,t19,2/9/24,8:00,LIC_03,LICRNA_02
133,A2449446903_n01_LICRNA02_F05.fastq.gz,F05,38,LIC222,plant,t19,2/9/24,8:00,LIC_03,LICRNA_02
134,A2449446903_n01_LICRNA02_G05.fastq.gz,G05,39,LIC223,plant,t19,2/9/24,8:00,LIC_03,LICRNA_02
135,A2449446903_n01_LICRNA02_H05.fastq.gz,H05,40,LIC224,plant,t19,2/9/24,8:00,LIC_03,LICRNA_02
136,A2449446903_n01_LICRNA02_A06.fastq.gz,A06,41,LIC229,plant,t20,2/16/24,8:00,LIC_03,LICRNA_02
137,A2449446903_n01_LICRNA02_B06.fastq.gz,B06,42,LIC230,plant,t20,2/16/24,8:00,LIC_03,LICRNA_02
138,A2449446903_n01_LICRNA02_C06.fastq.gz,C06,43,LIC231,plant,t20,2/16/24,8:00,LIC_03,LICRNA_02
139,A2449446903_n01_LICRNA02_D06.fastq.gz,D06,44,LIC232,plant,t20,2/16/24,8:00,LIC_03,LICRNA_02
140,A2449446903_n01_LICRNA02_E06.fastq.gz,E06,45,LIC233,plant,t20,2/16/24,8:00,LIC_03,LICRNA_02
141,A2449446903_n01_LICRNA02_F06.fastq.gz,F06,46,LIC234,plant,t20,2/16/24,8:00,LIC_03,LICRNA_02
142,A2449446903_n01_LICRNA02_G06.fastq.gz,G06,47,LIC235,plant,t20,2/16/24,8:00,LIC_03,LICRNA_02
